0	0	1	5
0.043478	0	1	5
0.086957	0	0.01	5
0.130435	0	0.01	5
0.173913	0	0.01	5
0.217391	0	0.01	3
0.26087	0	0.01	3
0.304348	0	0.01	3
0.347826	0	0.01	3
0.391304	0	0.01	3
0.434783	0	0.01	3
0.478261	0	0.01	2
0.521739	0	0.01	2
0.565217	0	0.01	2
0.608696	0	0.01	2
0.652174	0	0.01	2
0.695652	0	0.01	22
0.73913	0	0.01	22
0.782609	0	0.01	22
0.826087	0	0.01	22
0.869565	0	0.01	23
0.913043	0	0.01	23
0.956522	0	0.01	23
1	0	0.01	23
0	0.083333	1	5
0.043478	0.083333	1	5
0.086957	0.083333	1	5
0.130435	0.083333	0.01	5
0.173913	0.083333	0.01	5
0.217391	0.083333	0.01	3
0.26087	0.083333	0.01	3
0.304348	0.083333	0.01	3
0.347826	0.083333	0.01	3
0.391304	0.083333	0.01	3
0.434783	0.083333	0.01	3
0.478261	0.083333	0.01	3
0.521739	0.083333	0.01	3
0.565217	0.083333	0.01	3
0.608696	0.083333	0.01	22
0.652174	0.083333	0.01	22
0.695652	0.083333	0.01	22
0.73913	0.083333	0.01	22
0.782609	0.083333	0.01	22
0.826087	0.083333	0.01	22
0.869565	0.083333	0.01	23
0.913043	0.083333	0.01	23
0.956522	0.083333	0.01	23
1	0.083333	0.01	23
0	0.166667	0.01	5
0.043478	0.166667	1	5
0.086957	0.166667	1	5
0.130435	0.166667	1	5
0.173913	0.166667	0.01	5
0.217391	0.166667	0.01	3
0.26087	0.166667	0.01	3
0.304348	0.166667	0.01	3
0.347826	0.166667	0.01	3
0.391304	0.166667	0.01	7
0.434783	0.166667	0.01	7
0.478261	0.166667	1	7
0.521739	0.166667	1	7
0.565217	0.166667	1	7
0.608696	0.166667	1	7
0.652174	0.166667	1	7
0.695652	0.166667	0.01	7
0.73913	0.166667	0.01	22
0.782609	0.166667	0.01	22
0.826087	0.166667	0.01	22
0.869565	0.166667	0.01	23
0.913043	0.166667	0.01	23
0.956522	0.166667	0.01	23
1	0.166667	0.01	23
0	0.25	0.01	4
0.043478	0.25	0.01	4
